Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	23.29		0	
True	255	A2	Sample 2	23.67		0	
True	255	A3	Sample 3	24.48		0	
True	255	A4	Sample 4	24.93		0	
True	255	A5	Sample 5	26.03		0	
True	255	A6	Sample 6	23.30		0	
True	255	A7	Sample 7	23.58		0	
True	255	A8	Sample 8	25.12		0	
True	255	A9	Sample 9	25.74		0	
True	255	A10	Sample 10	24.79		0	
True	255	A11	Sample 11	26.48		0	
True	255	A12	Sample 12	29.18		0	
True	255	A13	Sample 13	20.75		0	
True	255	A14	Sample 14	20.93		0	
True	255	A15	Sample 15	20.77		0	
True	255	A16	Sample 16	21.72		0	
True	255	A17	Sample 17	22.96		0	
True	255	A18	Sample 18	20.81		0	
True	255	A19	Sample 19	20.33		0	
True	255	A20	Sample 20	21.20		0	
True	255	A21	Sample 21	21.78		0	
True	255	A22	Sample 22	21.00		0	
True	255	A23	Sample 23	21.79		0	
True	255	A24	Sample 24	24.59		0	
True	255	B1	Sample 25	23.24		0	
True	255	B2	Sample 26	23.72		0	
True	255	B3	Sample 27	24.53		0	
True	255	B4	Sample 28	24.91		0	
True	255	B5	Sample 29	26.03		0	
True	255	B6	Sample 30	23.31		0	
True	255	B7	Sample 31	23.62		0	
True	255	B8	Sample 32	25.07		0	
True	255	B9	Sample 33	25.76		0	
True	255	B10	Sample 34	24.47		0	
True	255	B11	Sample 35	26.31		0	
True	255	B12	Sample 36	29.68		0	
True	255	B13	Sample 37	20.68		0	
True	255	B14	Sample 38	20.89		0	
True	255	B15	Sample 39	20.73		0	
True	255	B16	Sample 40	21.71		0	
True	255	B17	Sample 41	22.85		0	
True	255	B18	Sample 42	20.81		0	
True	255	B19	Sample 43	20.31		0	
True	255	B20	Sample 44	21.18		0	
True	255	B21	Sample 45	21.87		0	
True	255	B22	Sample 46	20.95		0	
True	255	B23	Sample 47	21.74		0	
True	255	B24	Sample 48	24.58		0	
True	255	C1	Sample 49	23.43		0	
True	255	C2	Sample 50	23.67		0	
True	255	C3	Sample 51	24.43		0	
True	255	C4	Sample 52	24.86		0	
True	255	C5	Sample 53	25.98		0	
True	255	C6	Sample 54	23.43		0	
True	255	C7	Sample 55	23.69		0	
True	255	C8	Sample 56	25.15		0	
True	255	C9	Sample 57	25.74		0	
True	255	C10	Sample 58	24.73		0	
True	255	C11	Sample 59	26.56		0	
True	255	C12	Sample 60	29.28		0	
True	255	C13	Sample 61	20.72		0	
True	255	C14	Sample 62	20.87		0	
True	255	C15	Sample 63	20.74		0	
True	255	C16	Sample 64	21.74		0	
True	255	C17	Sample 65	22.97		0	
True	255	C18	Sample 66	20.78		0	
True	255	C19	Sample 67	20.32		0	
True	255	C20	Sample 68	21.18		0	
True	255	C21	Sample 69	21.85		0	
True	255	C22	Sample 70	20.92		0	
True	255	C23	Sample 71	21.72		0	
True	255	C24	Sample 72	24.59		0	
True	255	D1	Sample 73	20.05		0	
True	255	D2	Sample 74	20.33		0	
True	255	D3	Sample 75	20.22		0	
True	255	D4	Sample 76	21.03		0	
True	255	D5	Sample 77	22.28		0	
True	255	D6	Sample 78	20.12		0	
True	255	D7	Sample 79	19.74		0	
True	255	D8	Sample 80	20.57		0	
True	255	D9	Sample 81	21.07		0	
True	255	D10	Sample 82	20.33		0	
True	255	D11	Sample 83	21.09		0	
True	255	D12	Sample 84	23.70		0	
True	255	D13	Sample 85	21.89		0	
True	255	D14	Sample 86	22.11		0	
True	255	D15	Sample 87	23.02		0	
True	255	D16	Sample 88	22.78		0	
True	255	D17	Sample 89	23.73		0	
True	255	D18	Sample 90	21.69		0	
True	255	D19	Sample 91	21.99		0	
True	255	D20	Sample 92	23.19		0	
True	255	D21	Sample 93	23.70		0	
True	255	D22	Sample 94	22.42		0	
True	255	D23	Sample 95	23.95		0	
True	255	D24	Sample 96	26.82		0	
True	255	E1	Sample 97	20.14		0	
True	255	E2	Sample 98	20.34		0	
True	255	E3	Sample 99	20.30		0	
True	255	E4	Sample 100	21.03		0	
True	255	E5	Sample 101	22.23		0	
True	255	E6	Sample 102	20.09		0	
True	255	E7	Sample 103	19.73		0	
True	255	E8	Sample 104	20.64		0	
True	255	E9	Sample 105	20.99		0	
True	255	E10	Sample 106	20.45		0	
True	255	E11	Sample 107	21.07		0	
True	255	E12	Sample 108	23.83		0	
True	255	E13	Sample 109	21.92		0	
True	255	E14	Sample 110	22.12		0	
True	255	E15	Sample 111	23.08		0	
True	255	E16	Sample 112	22.80		0	
True	255	E17	Sample 113	23.73		0	
True	255	E18	Sample 114	21.68		0	
True	255	E19	Sample 115	21.99		0	
True	255	E20	Sample 116	23.22		0	
True	255	E21	Sample 117	23.69		0	
True	255	E22	Sample 118	22.44		0	
True	255	E23	Sample 119	23.93		0	
True	255	E24	Sample 120	26.82		0	
True	255	F1	Sample 121	20.15		0	
True	255	F2	Sample 122	20.25		0	
True	255	F3	Sample 123	20.23		0	
True	255	F4	Sample 124	21.02		0	
True	255	F5	Sample 125	22.27		0	
True	255	F6	Sample 126	20.12		0	
True	255	F7	Sample 127	19.72		0	
True	255	F8	Sample 128	20.66		0	
True	255	F9	Sample 129	21.11		0	
True	255	F10	Sample 130	20.43		0	
True	255	F11	Sample 131	21.14		0	
True	255	F12	Sample 132	23.70		0	
True	255	F13	Sample 133	21.96		0	
True	255	F14	Sample 134	22.20		0	
True	255	F15	Sample 135	23.10		0	
True	255	F16	Sample 136	22.77		0	
True	255	F17	Sample 137	23.72		0	
True	255	F18	Sample 138	21.74		0	
True	255	F19	Sample 139	22.01		0	
True	255	F20	Sample 140	23.14		0	
True	255	F21	Sample 141	23.66		0	
True	255	F22	Sample 142	22.22		0	
True	255	F23	Sample 143	23.99		0	
True	255	F24	Sample 144	26.62		0	
True	255	G1	Sample 145	30.00		0	
True	255	G2	Sample 146	29.27		0	
True	255	G3	Sample 147	30.25		0	
True	255	G4	Sample 148	30.73		0	
True	255	G5	Sample 149	29.43		0	
True	255	G6	Sample 150	30.93		0	
True	255	G7	Sample 151	29.00		0	
True	255	G8	Sample 152	29.78		0	
True	255	G9	Sample 153	29.43		0	
True	255	G10	Sample 154	30.54		0	
True	255	G11	Sample 155	30.14		0	
True	255	G12	Sample 156	30.20		0	
True	255	G13	Sample 157	19.87		0	
